Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,src_Name,src_IATA,src_City,src_Country,src_Latitude,src_Longitude,dest_Name,dest_IATA,dest_City,dest_Country,dest_Latitude,dest_Longitude
LH,3320,VIE,1613,YYZ,193,Y,0,767,Vienna International Airport,VIE,Vienna,Austria,48.110298156738004,16.569700241089002,Lester B. Pearson International Airport,YYZ,Toronto,Canada,43.6772003174,-79.63059997559999
LH,3320,VNO,3959,BRU,302,Y,0,AR1 319,Vilnius International Airport,VNO,Vilnius,Lithuania,54.634102,25.285801,Brussels Airport,BRU,Brussels,Belgium,50.9014015198,4.48443984985
LH,3320,VRN,1550,FRA,340,Y,0,E95,Verona Villafranca Airport,VRN,Villafranca,Italy,45.395699,10.8885,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,VRN,1550,MUC,346,Y,0,E95,Verona Villafranca Airport,VRN,Villafranca,Italy,45.395699,10.8885,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,WAW,679,DUS,345,Y,0,E75,Warsaw Chopin Airport,WAW,Warsaw,Poland,52.1656990051,20.9671001434,Düsseldorf Airport,DUS,Duesseldorf,Germany,51.289501,6.766780000000002
LH,3320,WAW,679,HAM,342,Y,0,E75 E70,Warsaw Chopin Airport,WAW,Warsaw,Poland,52.1656990051,20.9671001434,Hamburg Airport,HAM,Hamburg,Germany,53.630401611328004,9.988229751586902
LH,3320,WRO,680,MUC,346,Y,0,CR7 CR9 E95,Copernicus Wrocław Airport,WRO,Wroclaw,Poland,51.10269927979999,16.885799408,Munich Airport,MUC,Munich,Germany,48.353802,11.7861
LH,3320,YEG,49,LHR,507,Y,0,763,Edmonton International Airport,YEG,Edmonton,Canada,53.309700012200004,-113.580001831,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YHZ,73,LHR,507,Y,0,763,Halifax / Stanfield International Airport,YHZ,Halifax,Canada,44.880798339799995,-63.50859832760001,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YOW,100,FRA,340,Y,0,333,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,Canada,45.3224983215332,-75.66919708251953,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,YOW,100,LHR,507,Y,0,763,Ottawa Macdonald-Cartier International Airport,YOW,Ottawa,Canada,45.3224983215332,-75.66919708251953,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YUL,146,BRU,302,Y,0,333,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,Brussels Airport,BRU,Brussels,Belgium,50.9014015198,4.48443984985
LH,3320,YUL,146,CDG,1382,Y,0,77W,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,Charles de Gaulle International Airport,CDG,Paris,France,49.012798,2.55
LH,3320,YUL,146,FRA,340,Y,0,333,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,YUL,146,GVA,1665,Y,0,333,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,Geneva Cointrin International Airport,GVA,Geneva,Switzerland,46.23809814453125,6.108950138092041
LH,3320,YUL,146,LHR,507,Y,0,77W,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YUL,146,YYZ,193,Y,0,333,Montreal / Pierre Elliott Trudeau International Airport,YUL,Montreal,Canada,45.4706001282,-73.7407989502,Lester B. Pearson International Airport,YYZ,Toronto,Canada,43.6772003174,-79.63059997559999
LH,3320,YVR,156,LHR,507,Y,0,77W,Vancouver International Airport,YVR,Vancouver,Canada,49.193901061999995,-123.183998108,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YYC,178,FRA,340,Y,0,77W,Calgary International Airport,YYC,Calgary,Canada,51.113899231000005,-114.019996643,Frankfurt am Main Airport,FRA,Frankfurt,Germany,50.033333,8.570556
LH,3320,YYC,178,LHR,507,Y,0,333,Calgary International Airport,YYC,Calgary,Canada,51.113899231000005,-114.019996643,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
LH,3320,YYT,189,LHR,507,Y,0,319,St. John's International Airport,YYT,St. John's,Canada,47.61859893800001,-52.751899719200004,London Heathrow Airport,LHR,London,United Kingdom,51.4706,-0.461941
